Object Name,Bounding Box,Area,Overlap Area,Percentage
Fanta,"(0, 628), (174, 720)",16008,0.0,0.0
Bia_Truc_Bach,"(643, 190), (875, 510)",74240,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(636, 188), (868, 507)",74008,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(629, 187), (854, 505)",71550,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(620, 184), (847, 505)",72867,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(615, 181), (841, 503)",72772,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(609, 179), (835, 502)",72998,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(605, 177), (833, 498)",73188,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(600, 176), (826, 499)",72998,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(597, 176), (823, 498)",72772,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(593, 175), (818, 499)",72900,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(590, 176), (818, 498)",73416,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(589, 175), (817, 499)",73872,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(588, 176), (817, 499)",73967,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(588, 176), (817, 498)",73738,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(588, 176), (818, 498)",74060,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(587, 176), (818, 498)",74382,0.0,0.0
Fanta,"(0, 629), (172, 720)",15652,0.0,0.0
Bia_Truc_Bach,"(586, 174), (817, 500)",75306,0.0,0.0
Fanta,"(0, 629), (174, 720)",15834,0.0,0.0
Bia_Truc_Bach,"(585, 173), (818, 501)",76424,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(584, 173), (819, 501)",77080,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(585, 174), (820, 500)",76610,0.0,0.0
Fanta,"(0, 628), (174, 720)",16008,0.0,0.0
Bia_Truc_Bach,"(584, 175), (825, 502)",78807,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(586, 174), (835, 502)",81672,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(590, 172), (844, 501)",83566,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(596, 170), (858, 502)",86984,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(605, 169), (873, 502)",89244,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(613, 166), (886, 500)",91182,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(627, 165), (899, 495)",89760,89312.2265625,99.50114367479947
Bia_Truc_Bach,"(627, 165), (898, 498)",90243,89312.2265625,98.96859209301553
Bia_Truc_Bach,"(647, 162), (907, 491)",85540,0.0,0.0
Fanta,"(0, 628), (173, 720)",15916,0.0,0.0
Bia_Truc_Bach,"(661, 159), (919, 491)",85656,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(677, 154), (935, 492)",87204,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(693, 156), (943, 489)",83250,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(710, 155), (958, 486)",82088,80181.5546875,97.67755906770783
Bia_Truc_Bach,"(712, 155), (955, 485)",80190,80181.5546875,99.98946837199152
Bia_Truc_Bach,"(723, 156), (969, 486)",81180,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(737, 157), (974, 487)",78210,0.0,0.0
